image,method,raw_bytes,out_bytes,encode_ms,decode_ms,encode_throughput_mbps,decode_throughput_mbps,ratio,bpp,lossless
oexr_TestImages_GrayRampsHorizontal.exr,our_v4c_pred_bitshuf_order0,2560000,19596,49.485292,45.42825,51.732543075627405,56.352599979087906,130.6389058991631,0.24495,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v4d_pred_bitshuf_order1,2560000,138737,53.451292,53.34525,47.894071484745396,47.98927739583187,18.452179303286073,1.7342125,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v3a_rct_order1,2560000,1183348,38.007834,77.943042,67.35453538341595,32.8444968827365,2.163353468295041,14.79185,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v3b_rct_bitshuf_order1,2560000,485617,49.813083,55.745,51.39212122245074,45.92340120190152,5.271644114600601,6.0702125,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v3c_rct_pred_bitshuf_order1,2560000,138737,53.415959,56.26575,47.92575192743427,45.49837156707233,18.452179303286073,1.7342125,True
ph_abandoned_tiled_room_1k.exr,exr_none,6291456,6300023,23.222792,4.932292,270.91729538808255,1275.564382644012,0.9986401636946405,96.13072204589844,True
ph_abandoned_tiled_room_1k.exr,exr_rle,6291456,6299968,24.243167,5.643042,259.5146087967797,1114.9050458954584,0.9986488820260674,96.1298828125,True
ph_abandoned_tiled_room_1k.exr,exr_zips,6291456,2903624,48.323417,8.6465,130.19476664905548,727.6303706702134,2.166759883511088,44.3057861328125,True
ph_abandoned_tiled_room_1k.exr,exr_zip,6291456,2326126,32.862792,8.517083,191.44618022716998,738.6867076439199,2.70469269506467,35.493865966796875,True
ph_abandoned_tiled_room_1k.exr,exr_piz,6291456,1788306,22.425333,10.908583,280.55128545917245,576.7436522232082,3.5181093168618793,27.287384033203125,True
ph_abandoned_tiled_room_1k.exr,jxl_e3_ll,6291456,4471892,255.209083,157.548542,24.652163340126886,39.93344476650251,1.4068890751386662,68.23565673828125,True
ph_abandoned_tiled_room_1k.exr,jxl_e7_ll,6291456,3985437,795.965167,148.2775,7.90418508351635,42.43028106084875,1.5786113291967732,60.81294250488281,True
ph_abandoned_tiled_room_1k.exr,jxl_e3_nl,6291456,1060405,233.790708,150.768083,26.91063324894846,41.729362573377024,5.933068968931682,16.180496215820312,True
ph_abandoned_tiled_room_1k.exr,jxl_e7_nl,6291456,1004196,2253.507958,184.666875,2.791849914558855,34.06921788220004,6.265167357766811,15.32281494140625,True
ph_abandoned_tiled_room_1k.exr,zstd_3,6291456,2055283,74.369667,47.0085,84.59707100745793,133.83656147292513,3.061114211522209,31.361129760742188,True
ph_abandoned_tiled_room_1k.exr,zstd_19,6291456,1628546,3313.488833,47.857834,1.8987406679453867,131.46136116398415,3.8632350575298458,24.849639892578125,True
ph_abandoned_tiled_room_1k.exr,zstd_22,6291456,1628467,4006.770958,48.307958,1.570206050195695,130.23643019644922,3.863422470335598,24.848434448242188,True
ph_abandoned_tiled_room_1k.exr,xz_9,6291456,1376352,4761.553792,188.966208,1.321303144904175,33.294079754196055,4.571109716119133,21.00146484375,True
ph_abandoned_tiled_room_1k.exr,bzip2_9,6291456,1367902,700.407167,318.247625,8.98256942022411,19.769058763596426,4.599347029246247,20.872528076171875,True
ph_abandoned_tiled_room_1k.exr,lz4_9,6291456,2332819,472.72825,33.552334,13.308821717339718,187.5117242216294,2.6969327667512997,35.59599304199219,True
ph_abandoned_tiled_room_1k.exr,zfp,6291456,2663840,52.96925,39.333792,118.77562925659699,159.95040600204527,2.3617995074779268,40.64697265625,True
ph_abandoned_tiled_room_1k.exr,blosc_zstd9_shuf,6291456,1507428,274.785916,7.644,22.895845942846652,823.0580847723705,4.173636153766548,23.00152587890625,True
ph_abandoned_tiled_room_1k.exr,blosc_zstd9_bitshuf,6291456,1526083,162.410417,9.6425,38.738007796630434,652.4714544983148,4.1226171839932695,23.286178588867188,True
ph_abandoned_tiled_room_1k.exr,blosc_zstd9_noshuf,6291456,1645615,683.119416,9.048208,9.209891934911713,695.3261905561852,3.82316398428551,25.110092163085938,True
ph_abandoned_tiled_room_1k.exr,blosc_lz4hc9_shuf,6291456,1720175,90.198084,5.682875,69.75154815927132,1107.0903371972813,3.6574511314255815,26.247787475585938,True
ph_abandoned_tiled_room_1k.exr,blosc_lz4_shuf,6291456,1981688,5.936584,6.315167,1059.7771378287582,996.2453882850605,3.1747964361695686,30.2381591796875,True
ph_abandoned_tiled_room_1k.exr,planes_zstd19,6291456,1493639,1536.349875,130.083917,4.09506721247333,48.364595294282225,4.212166393619877,22.791122436523438,True
ph_abandoned_tiled_room_1k.exr,our_v0_passthrough,6291456,6291477,18.597792,13.508834,338.290480934511,465.72901850744483,0.9999966621510339,96.00032043457031,True
ph_abandoned_tiled_room_1k.exr,our_v1a_rans_static,6291456,6291490,82.617917,85.529083,76.15123000498791,73.55925936912008,0.999994595874745,96.00051879882812,True
ph_abandoned_tiled_room_1k.exr,our_v1b_rans_order0,6291456,3058509,102.7145,84.871667,61.25187777772369,74.12904945062526,2.057033672289341,46.66914367675781,True
ph_abandoned_tiled_room_1k.exr,our_v1c_rans_order1,6291456,2426670,92.494542,195.042,68.01975407370524,32.25692927677116,2.592629405728838,37.028045654296875,True
ph_abandoned_tiled_room_1k.exr,our_v2a_bitshuf_order0,6291456,2748417,157.897791,135.991334,39.845117275896534,46.26365382958888,2.289119882463251,41.93751525878906,True
ph_abandoned_tiled_room_1k.exr,our_v2b_bitshuf_order1,6291456,1751604,183.090042,235.283208,34.36263344130971,26.739927823493467,3.5918255496105282,26.72735595703125,True
ph_abandoned_tiled_room_1k.exr,our_v4a_pred_order0,6291456,2013112,129.809833,132.406625,48.46671361174928,47.51617224591292,3.1252389335516355,30.7176513671875,True
ph_abandoned_tiled_room_1k.exr,our_v4b_pred_order1,6291456,1994193,133.481,194.871458,47.13371940575813,32.28515896873928,3.154888217940791,30.428970336914062,True
